Name,Role,movie_ID
Christoph Waltz,Actor,FIBC
Christophe Barratier,Director,HYST
Christopher Adamson,Actor,ILPF
Christopher Carley,Actor,WICB
Christopher Eccleston,Actor,"IAKY, SSFZ"
Christopher Guest,Actor,ALQC
Christopher Heyerdahl,Actor,MAPQ
Christopher Lloyd,Actor,"MQOM, GUJC, JPUO"
Christopher McQuarrie,Director,PGTO
Christopher Miller,Director,NEFC
Christopher Mintz-Plasse,Actor,GNPR
Christopher Nolan,Director,"DBCH, BVTW, DRRQ, IHQN, VFJG, HKPW, KXRI, XDCD"
Christopher Plummer,Actor,"SQFX, KTVX, PEAL, SLAB, GCYZ, BFDA"
Christopher Reeve,Actor,PESG
Christopher Rivera,Actor,PDLC
Christopher Walken,Actor,"FILR, RVDL, GICZ"
Chulpan Khamatova,Actor,PLJU
Ciarán Hinds,Actor,"UPXM, LNFK"
Cillian Murphy,Actor,IAKY
Claire Bloom,Actor,OJCX
Claire Danes,Actor,IJAS
Claire Maurier,Actor,PGLQ
Claire Rushbrook,Actor,MECW
Claire Trevor,Actor,QIII
Clark Gable,Actor,"DQZJ, QSZP"
Claude Rains,Actor,"LHBQ, ZOXL, UHKQ, RDLL"
Claudette Colbert,Actor,DQZJ
Claudia Cardinale,Actor,"UNWD, GBJK, RTIM"
Cleavon Little,Actor,GLDH
Clifton Powell,Actor,TBKZ
Clifton Webb,Actor,RDSZ
Clint Eastwood,Actor,"KBFH, VOZE, UZMW, ROYO, WICB, TNST, ERWD, DBYU, BLIZ, YGJM, BNAZ, EHDG"
Clint Eastwood,Director,"ZPBG, EHDG, BNAZ, UZMW, NGZS, WICB, RDPU, BLIZ"
Clive Owen,Actor,"SLAB, YPWI, FYCV, GTUX"
Clyde Bruckman,Director,PVXY
Coleen Gray,Actor,USCH
Colin Clive,Actor,"IMXI, RYGJ"
Colin Farrell,Actor,"UPXM, OKSE"
Colin Firth,Actor,"IIXQ, YYCU, GRZF"
Colm Feore,Actor,RDPU
Connie Nielsen,Actor,LTIF
Conrad Veidt,Actor,OWFI
Corey Feldman,Actor,"VEPA, OVTQ"
Corey Hawkins,Actor,OWLK
Cori Gonzalez-Macuer,Actor,RSFW
Craig Bierko,Actor,YELF
Craig Ferguson,Actor,AFCI
Craig Parkinson,Actor,KAVQ
Craig T. Nelson,Actor,"USDZ, JYKC"
Crispin Glover,Actor,"JPUO, YPCF"
Cristian Mungiu,Director,TBEV
Cuba Gooding Jr.,Actor,"TVKR, EGLI"
Cuifen Cao,Actor,CSJX
Curt Bois,Actor,JRKT
Curtis Hanson,Director,ZSET
Cy Endfield,Director,VSLQ
Cybill Shepherd,Actor,"IWPO, DYQG"
Cyril Cusack,Actor,QAPC
Céline Sciamma,Director,MVKO
Dafne Keen,Actor,KFPB
Daisuke Ryû,Actor,UUQJ
Daisy Ridley,Actor,TPON
Dakota Fanning,Actor,"RVDL, TYOQ, IUYQ"
Dakota Johnson,Actor,OLJP
Dalia Hernández,Actor,HXMW
Damian Chapa,Actor,VFVB
Damien Chazelle,Director,"MLNP, GVOM"
Damián Szifron,Director,IWMS
Dan Aykroyd,Actor,"SYKG, ZBWN"
Dan Gilroy,Director,HFUD
Dan Hedaya,Actor,EASF
Dan Hicks,Actor,IRWA
Dan Riba,Actor,DQVM
Dana Andrews,Actor,"RDSZ, JKBY"
Dana Wynter,Actor,HGMO
Danai Gurira,Actor,LOKC
Daniel Boulanger,Actor,QJUM
Daniel Brühl,Actor,"PLJU, MHXY"
Daniel Craig,Actor,"GCYZ, RIOM, MEII, AHMI"
Daniel Day-Lewis,Actor,"HDHB, ARTG, LNFK, QCKX"
Daniel Giménez Cacho,Actor,TAEY
Daniel Kaluuya,Actor,BJAX
Daniel Mays,Actor,YYCU
Daniel Monzón,Director,LUXB
Daniel Prévost,Actor,BACZ
Daniel Radcliffe,Actor,"WQUO, DLPY, TXAM, XTJE, NVVN, LZMG"
Daniel Richter,Actor,JGSD
Daniel Stern,Actor,LMLS
Danielle Proulx,Actor,YGBT
Danis Tanovic,Director,FZMK
Danny Aiello,Actor,"IEJJ, MDNZ, ETAC"
Danny Boyle,Director,"IJLX, NIBA, IAKY"
Danny Denzongpa,Actor,PRCZ
Danny Elfman,Actor,NUJA
Danny Glover,Actor,"KPGV, EJOD, ZOAN"
Danny Huston,Actor,OUKR
Danny Lee,Actor,LPXU
Danny Lloyd,Actor,XRYP
Dara Singh,Actor,TDTU
Darius Marder,Director,URZP
Darren Aronofsky,Director,"UNUJ, TDEL, RKDV"
Darren McGavin,Actor,QBIQ
Darryl F. Zanuck,Actor,KIIL
Darsheel Safary,Actor,SNIW
Daryl Hannah,Actor,"NFDX, LWHS"
Darío Grandinetti,Actor,"IWMS, LXVB"
Dave Bautista,Actor,"EHNG, YJNL"
Dave Goelz,Actor,ZLBE
Dave Johns,Actor,DTBJ
Daveigh Chase,Actor,LVTX
David Ayer,Director,GLBU
David Carradine,Actor,"NFDX, LWHS"
David Cronenberg,Director,LHMZ
David Della Rocco,Actor,HZZC
David Emge,Actor,CQPC
David Fincher,Director,"ITQT, PRKU, GCYZ, RZSA, HNIE, LPUK, NYSS, ELXD"
David Hand,Actor,TQJR
David Hemmings,Actor,GACQ
David Herman,Actor,OLTB
David James,Actor,RZQP
